grant_id,status,reinstated,org_name,org_state,award_type,nsf_total_budget,nsf_obligated,remaining_budget_impact,in_cruz_list,flagged_word_count,flagged_words_found,has_flagged_words
2201796,❌ Terminated,False,Carnegie-Mellon University,PA,Continuing Grant,1051218,1083218,181236.94999999995,True,19,"['diverse', 'female', 'female', 'female', 'female', 'female', 'women', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender']",True
2315095,❌ Terminated,False,University of Texas at San Antonio,TX,Continuing Grant,3641116,2237769,0.0,True,7,"['barriers', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity']",True
2236163,❌ Terminated,False,University of New Mexico,NM,Standard Grant,609429,609429,260716.79,True,10,"['disabilities', 'diverse', 'diverse', 'diversity', 'diversity', 'equity', 'equity', 'women', 'inclusion', 'inclusion']",True
2243822,🔄 Possibly Reinstated,True,University of California-Berkeley,CA,Standard Grant,3000000,3000000,1920591.456736035,True,7,"['diverse', 'diversify', 'equity', 'equity', 'equity', 'equity', 'underrepresented']",True
2216648,❌ Terminated,False,Oklahoma State University,OK,Standard Grant,2719700,2719700,1172399.93,True,6,"['diverse', 'diverse', 'diverse', 'diverse', 'inclusive', 'climate']",True
2411946,❌ Terminated,False,University of South Alabama,AL,Continuing Grant,2746938,1130584,2651297.43,False,15,"['diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'minority']",True
2317588,❌ Terminated,False,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Standard Grant,96228,96228,19352.800000000003,True,4,"['diverse', 'diverse', 'diverse', 'women']",True
2329420,❌ Terminated,False,University of Washington,WA,Standard Grant,44360,44360,108.34999999999854,True,14,"['diverse', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'inclusive', 'underrepresented']",True
2131508,❌ Terminated,False,"University of Maryland, College Park",MD,Standard Grant,780000,780000,75859.53000000003,False,3,"['diverse', 'hate speech', 'marginalized']",True
2201809,❌ Terminated,False,University of Minnesota-Twin Cities,MN,Continuing Grant,387605,387605,105493.33000000002,True,25,"['diverse', 'diverse', 'diversity', 'diversity', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'transgender', 'transgender', 'climate', 'climate']",True
2233683,🔄 Possibly Reinstated,True,University of California-Davis,CA,Standard Grant,399048,399048,161686.42368177613,True,2,"['diversity', 'underserved']",True
2121851,❌ Terminated,False,North Dakota State University Fargo,ND,Standard Grant,737487,737487,163374.87,False,0,[],False
2309308,❌ Terminated,False,San Jose State University Foundation,CA,Continuing Grant,57342,57939,0.0,True,7,"['barriers', 'diverse', 'equity', 'equity', 'equity', 'equity', 'equity']",True
2317780,❌ Terminated,False,University of South Carolina at Columbia,SC,Standard Grant,399997,399997,225980.54,True,33,"['diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'equity', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'underrepresented', 'underrepresented']",True
2201486,❌ Terminated,False,University of Nebraska-Lincoln,NE,Continuing Grant,1500000,1500000,0.0,True,5,"['diverse', 'equitable', 'inclusive', 'underrepresented', 'underrepresented']",True
2224593,❌ Terminated,False,Northwestern University,IL,Standard Grant,1034751,1034751,771067.3400000001,True,9,"['diversity', 'diversity', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity']",True
2222234,❌ Terminated,False,Michigan State University,MI,Standard Grant,2230181,2230181,510309.92999999993,True,4,"['diverse', 'diverse', 'inclusive', 'sustainable']",True
2154123,❌ Terminated,False,University of Utah,UT,Standard Grant,441200,441200,326473.01,False,1,['barriers'],True
2225567,❌ Terminated,False,University of Kentucky Research Foundation,KY,Standard Grant,349591,349591,141024.43,True,14,"['disabilities', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'ethnicity', 'gender', 'inclusive', 'inclusive']",True
2228216,🔄 Possibly Reinstated,True,University of California-Irvine,CA,Continuing Grant,7500000,6000000,4056164.383561644,True,23,"['diverse', 'diverse', 'diversity', 'equitable', 'equitable', 'marginalized', 'marginalized', 'minorities', 'underrepresented', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate']",True
2224675,❌ Terminated,False,University of Texas at Austin,TX,Continuing Grant,1750171,1368414,0.0,True,18,"['barriers', 'diverse', 'diverse', 'diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized']",True
2140647,❌ Terminated,False,University of Texas at San Antonio,TX,Standard Grant,119324,119324,0.0,True,8,"['barriers', 'barriers', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity']",True
2305330,🔄 Possibly Reinstated,True,University of California-San Francisco,CA,Continuing Grant,1250000,834384,789400.72,True,26,"['barriers', 'barriers', 'bias', 'bias', 'bias', 'bias', 'bias', 'diverse', 'diverse', 'diversity', 'equity', 'equity', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'gender', 'gender', 'underrepresented', 'climate']",True
2236374,❌ Terminated,False,Arizona State University,AZ,Standard Grant,590387,590387,0.0,True,10,"['disabilities', 'diverse', 'diverse', 'diversity', 'diversity', 'equity', 'equity', 'women', 'inclusion', 'inclusion']",True
2235130,❌ Terminated,False,Columbia University,NY,Standard Grant,704044,704044,18642.280000000028,True,7,"['bias', 'bias', 'gender', 'gender', 'gender', 'gender', 'gender']",True
2200838,❌ Terminated,False,Coeur d' Alene Tribe,ID,Continuing Grant,2795365,2091864,1982949.2,True,10,"['diversity', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'inclusion', 'underrepresented']",True
2216826,❌ Terminated,False,St. Catherine University,MN,Standard Grant,75000,75000,0.0,True,7,"['bipoc', 'diverse', 'women', 'women', 'inclusion', 'inclusive', 'underrepresented']",True
2146983,❌ Terminated,False,Lehigh University,PA,Standard Grant,360047,367047,119503.6,False,0,[],False
2240343,❌ Terminated,False,Regents of the University of Michigan - Ann Arbor,MI,Standard Grant,15598,15598,5814.02,True,0,[],False
2204540,❌ Terminated,False,Kent State University,OH,Standard Grant,300000,300000,19431.390000000018,True,31,"['barriers', 'barriers', 'bias', 'diverse', 'diverse', 'equity', 'equity', 'equity', 'equity', 'equity', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'women', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'climate', 'climate']",True
2314917,❌ Terminated,False,University of South Carolina at Columbia,SC,Standard Grant,375552,375552,199566.38,True,19,"['barriers', 'bipoc', 'bipoc', 'bipoc', 'bipoc', 'diverse', 'diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'climate', 'climate', 'climate']",True
2152441,❌ Terminated,False,University of Cincinnati Main Campus,OH,Standard Grant,349936,349936,0.0,True,8,"['barrier', 'barriers', 'barriers', 'diverse', 'diverse', 'inclusion', 'underserved', 'underrepresented']",True
2301115,❌ Terminated,False,University of Texas at San Antonio,TX,Continuing Grant,345353,158787,345353.0,True,9,"['equitable', 'equitable', 'equitable', 'equitable', 'equitable', 'equitable', 'equitable', 'equity', 'marginalized']",True
2313996,❌ Terminated,False,North Carolina State University,NC,Continuing Grant,1999449,1123487,1485620.38,True,22,"['disabilities', 'disability', 'diverse', 'diverse', 'diverse', 'diversity', 'diversity', 'diversity', 'equitable', 'equitable', 'equity', 'equity', 'equity', 'equity', 'excluded', 'gender', 'gender', 'inclusion', 'inclusion', 'inclusion', 'inclusive', 'inclusive']",True
2233694,❌ Terminated,False,West Chester University of Pennsylvania,PA,Standard Grant,390382,390382,184307.7,True,19,"['barriers', 'barriers', 'barriers', 'barriers', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diversity', 'diversity', 'diversity', 'equitable', 'equitable', 'inclusion', 'inclusion', 'inclusive', 'inclusive']",True
2223907,❌ Terminated,False,Christopher Newport University,VA,Standard Grant,287877,287877,0.0,True,27,"['barriers', 'barriers', 'barriers', 'barriers', 'diverse', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'ethnicity', 'women', 'women', 'women', 'women', 'women', 'gender', 'gender', 'gender', 'gender', 'inclusion', 'minority', 'underrepresented', 'climate', 'sustainable']",True
2224674,❌ Terminated,False,George Mason University,VA,Continuing Grant,753640,439380,552205.75,True,18,"['barriers', 'diverse', 'diverse', 'diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized']",True
2214203,❌ Terminated,False,Stanford University,CA,Standard Grant,549926,549926,168519.96000000002,False,0,[],False
